T          V        N   RS       MinV       MaxV
1355279920 1.803550 002 3.606900 1.803350 1.803550
1355279924 1.803450 003 5.410350 1.803350 1.803550
1355279927 1.803550 004 7.213900 1.803350 1.803550
1355280006 1.803450 001 1.803450 1.803450 1.803450
1355280006 1.803550 002 3.607000 1.803450 1.803550
1355280018 1.803450 003 5.410450 1.803450 1.803550
1355280025 1.803350 004 7.213800 1.803350 1.803550
1355280034 1.803250 005 9.017050 1.803250 1.803550
1355280038 1.803350 006 10.820400 1.803250 1.803550
1355280429 1.803250 001 1.803250 1.803250 1.803250
1355280506 1.803350 001 1.803350 1.803350 1.803350
1355280528 1.803250 002 3.606600 1.803250 1.803350
1355280700 1.803350 001 1.803350 1.803350 1.803350
1355280833 1.803250 001 1.803250 1.803250 1.803250
1355280927 1.803150 001 1.803150 1.803150 1.803150
1355281177 1.803250 001 1.803250 1.803250 1.803250
1355281314 1.803350 001 1.803350 1.803350 1.803350
1355281604 1.803250 001 1.803250 1.803250 1.803250
1355281604 1.803450 002 3.606700 1.803250 1.803450
1355281605 1.803350 003 5.410050 1.803250 1.803450
1355281616 1.803250 004 7.213300 1.803250 1.803450
1355281750 1.803350 001 1.803350 1.803350 1.803350
1355281770 1.803450 002 3.606800 1.803350 1.803450
1355281795 1.803350 003 5.410150 1.803350 1.803450
1355281922 1.803050 001 1.803050 1.803050 1.803050
1355281934 1.803150 002 3.606200 1.803050 1.803150
1355282357 1.803050 001 1.803050 1.803050 1.803050
1355282658 1.803150 001 1.803150 1.803150 1.803150
1355282734 1.803050 001 1.803050 1.803050 1.803050
1355282810 1.803150 001 1.803150 1.803150 1.803150
1355282979 1.803250 001 1.803250 1.803250 1.803250
1355283066 1.803550 001 1.803550 1.803550 1.803550
1355283066 1.803350 002 3.606900 1.803350 1.803550
1355283156 1.803250 001 1.803250 1.803250 1.803250
1355283497 1.803050 001 1.803050 1.803050 1.803050
1355283578 1.803250 001 1.803250 1.803250 1.803250
1355283919 1.803350 001 1.803350 1.803350 1.803350
1355283920 1.803250 002 3.606600 1.803250 1.803350
1355284427 1.803050 001 1.803050 1.803050 1.803050
1355284603 1.803150 001 1.803150 1.803150 1.803150
1355285009 1.802950 001 1.802950 1.802950 1.802950
1355285077 1.803050 001 1.803050 1.803050 1.803050
1355285078 1.802950 002 3.606000 1.802950 1.803050
1355285912 1.802850 001 1.802850 1.802850 1.802850
1355285913 1.802950 002 3.605800 1.802850 1.802950
1355286304 1.803650 001 1.803650 1.803650 1.803650
1355286416 1.803050 001 1.803050 1.803050 1.803050
1355286472 1.803250 002 3.606300 1.803050 1.803250
1355286473 1.803050 003 5.409350 1.803050 1.803250
1355286563 1.802950 001 1.802950 1.802950 1.802950
1355286611 1.803050 002 3.606000 1.802950 1.803050
1355286647 1.802950 002 3.606000 1.802950 1.803050
1355286705 1.802850 002 3.605800 1.802850 1.802950
1355287972 1.803050 001 1.803050 1.803050 1.803050
1355288170 1.802950 001 1.802950 1.802950 1.802950
1355288251 1.803050 001 1.803050 1.803050 1.803050
1355288315 1.802950 001 1.802950 1.802950 1.802950
1355289031 1.802850 001 1.802850 1.802850 1.802850
1355289747 1.802950 001 1.802950 1.802950 1.802950
1355290263 1.803050 001 1.803050 1.803050 1.803050
1355290336 1.802850 001 1.802850 1.802850 1.802850
1355290943 1.803050 001 1.803050 1.803050 1.803050
1355290955 1.803250 002 3.606300 1.803050 1.803250
1355291024 1.803450 001 1.803450 1.803450 1.803450
1355291027 1.803150 002 3.606600 1.803150 1.803450
1355291150 1.803450 001 1.803450 1.803450 1.803450
1355291394 1.802850 001 1.802850 1.802850 1.802850
1355291395 1.803050 002 3.605900 1.802850 1.803050
1355291463 1.802650 001 1.802650 1.802650 1.802650
1355291464 1.802850 002 3.605500 1.802650 1.802850
1355291526 1.802750 001 1.802750 1.802750 1.802750
1355291608 1.802950 001 1.802950 1.802950 1.802950
1355291911 1.802350 001 1.802350 1.802350 1.802350
1355291928 1.802450 002 3.604800 1.802350 1.802450
1355292245 1.802350 001 1.802350 1.802350 1.802350
1355292261 1.802450 002 3.604800 1.802350 1.802450
1355292281 1.802350 003 5.407150 1.802350 1.802450
1355292281 1.802450 004 7.209600 1.802350 1.802450
1355292353 1.802350 001 1.802350 1.802350 1.802350
1355292707 1.802450 001 1.802450 1.802450 1.802450
1355292707 1.802350 002 3.604800 1.802350 1.802450
1355292780 1.802450 001 1.802450 1.802450 1.802450
1355292912 1.802350 001 1.802350 1.802350 1.802350
1355292926 1.802250 002 3.604600 1.802250 1.802350
1355292927 1.802350 003 5.406950 1.802250 1.802350
